Code, PQ0-3 , PQ0-2 , PQ0-1 , PQ0 , PQ1 , PQ2 , PQ3 , PQ4 , PQ5 , PQ6 , PQ7 , PQ8 , PQ9 , PQ10 , PQ11 , PQ12 
VTJ41006H,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006I,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006J,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006K,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41010,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364,0.3364
VTJ41011,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
VTJ41012,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754
VTJ41013,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
VTJ41014,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754
VTJ41015,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
VTJ41016,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754
VTJ41017,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754,0.3754
